page_id;page_title;page_ns;revision_id;timestamp;contributor_id;contributor_name;bytes
1004;|Hilo:Rod Link/@comment-5908766-20130620205611/@comment-5952074-20130620222601|;1201;1649;2013-06-20T22:26:01Z;5952074;|Rod Link|;5
1017;|Hilo:Rod Link/@comment-5908766-20130620205611/@comment-5952074-20130622210820|;1201;1671;2013-06-22T21:08:20Z;5952074;|Rod Link|;13
985;|Hilo:Rod Link/@comment-5909808-20130617185243|;1201;1624;2013-06-17T18:52:44Z;5909808;|Link-Cris|;112
987;|Hilo:Rod Link/@comment-5909808-20130617185243/@comment-187.192.193.232-20130617214223|;1201;1626;2013-06-17T21:42:23Z;187.192.193.232;Anonymous;15
991;|Hilo:Rod Link/@comment-5909808-20130617185243/@comment-5908766-20130617222832|;1201;1630;2013-06-17T22:28:32Z;5908766;|Link.U|;207
993;|Hilo:Rod Link/@comment-5909808-20130617185243/@comment-5908766-20130618023503|;1201;1632;2013-06-18T02:35:03Z;5908766;|Link.U|;94
990;|Hilo:Rod Link/@comment-5909808-20130617185243/@comment-7426511-20130617221155|;1201;1629;2013-06-17T22:11:55Z;7426511;|Carlos A A S|;28
992;|Hilo:Rod Link/@comment-5909808-20130617185243/@comment-7426511-20130617234047|;1201;1631;2013-06-17T23:40:48Z;7426511;|Carlos A A S|;58
994;|Hilo:Rod Link/@comment-5909808-20130617185243/@comment-7426511-20130618025123|;1201;1633;2013-06-18T02:51:24Z;7426511;|Carlos A A S|;31
695;|Hilo:Rod Link/@comment-7426511-20130526022238|;1201;1178;2013-05-26T02:22:38Z;7426511;|Carlos A A S|;175
697;|Hilo:Rod Link/@comment-7426511-20130526022238/@comment-5952074-20130526025944|;1201;1180;2013-05-26T02:59:44Z;5952074;|Rod Link|;100
699;|Hilo:Rod Link/@comment-7426511-20130526022238/@comment-5952074-20130526030348|;1201;1182;2013-05-26T03:03:48Z;5952074;|Rod Link|;2
698;|Hilo:Rod Link/@comment-7426511-20130526022238/@comment-7426511-20130526030257|;1201;1181;2013-05-26T03:02:57Z;7426511;|Carlos A A S|;76
700;|Hilo:Rod Link/@comment-7426511-20130526022238/@comment-7426511-20130526030707|;1201;1183;2013-05-26T03:07:07Z;7426511;|Carlos A A S|;34
837;|Hilo:Rod Link/@comment-7426511-20130607022019|;1201;1400;2013-06-07T02:20:20Z;7426511;|Carlos A A S|;76
838;|Hilo:Rod Link/@comment-7426511-20130607022019/@comment-5952074-20130607022200|;1201;1401;2013-06-07T02:22:00Z;5952074;|Rod Link|;48
839;|Hilo:Rod Link/@comment-7426511-20130607022019/@comment-7426511-20130607022905|;1201;1403;2013-06-07T02:29:05Z;7426511;|Carlos A A S|;2
1057;|Hilo:Rod Link/@comment-7426511-20130630025207|;1201;1727;2013-06-30T02:52:07Z;7426511;|Carlos A A S|;104
1058;|Hilo:Rod Link/@comment-7426511-20130630025207/@comment-5952074-20130630025746|;1201;1728;2013-06-30T02:57:46Z;5952074;|Rod Link|;21
